last,first,email
Adams,John,john.adamsrose-hulman.edu
Anderson,Justin,justin.anderson@rose-hulman.edu
Anderson,Roy,roy.anderson@rose-hulman.edu
Barkley,Jennifer,jennifer.barkley@rose-hulman.edu
Beesly,Pam,pam.beesly@rose-hulman.edu
Bennett,Jo,jo.bennett@rose-hulman.edu
Bernard,Andy,andy.bernard@rose-hulman.edu
Bertram,Nellie,nellie.bertram@rose-hulman.edu
Boyle,Charles,charles.boyle@rose-hulman.edu
Bratton,Creed,creed.bratton@rose-hulman.edu
Brendanawicz,Mark,mark.brendanawicz@rose-hulman.edu
California,Robert,robert.california@rose-hulman.edu
Costa,Marissa,marissa.costa@rose-hulman.edu
Diaz,Rosa,rosa.diaz@rose-hulman.edu
Dunn,Ron,ron.dunn@rose-hulman.edu
Dwyer,Andy,andy.dwyer@rose-hulman.edu
Filippelli,Karen,karen.filippelli@rose-hulman.edu
Flax,Holly,holly.flax@rose-hulman.edu
Flenderson,Toby,toby.flenderson@rose-hulman.edu
Gergich,Jerry,jerry.gergich@rose-hulman.edu
Gilmore,Happy,happy.gilmore@gmail.com
Gore,Dan,dan.gore@rose-hulman.edu
Green,Clark,clark.green@rose-hulman.edu
Halpert,Jim,jim.halpert@rose-hulman.edu
Hannon,Erin,erin.hannon@rose-hulman.edu
Haverford,Tom,tom.haverford@rose-hulman.edu
Hawkins,Melanie,melanie.hawkins@rose-hulman.edu
Holt,Ray,ray.holt@rose-hulman.edu
Howard,Ryan,ryan.howard@rose-hulman.edu
Hudson,Stanley,stanley.hudson@rose-hulman.edu
Jamm,Jeremy,jeremy.jamm@rose-hulman.edu
Jeffords,Sharon,sharon.jeffords@rose-hulman.edu
Jeffords,Terry,terry.jeffords@rose-hulman.edu
Judy,Doug,doug.judy@rose-hulman.edu
Kapoor,Kelly,kelly.kapoor@rose-hulman.edu
Knope,Leslie,leslie.knope@rose-hulman.edu
Levinson,Jan,jan.levinson@rose-hulman.edu
Lewis,Diane,diane.lewis@rose-hulman.edu
Lewis,Gabe,gabe.lewis@rose-hulman.edu
Linetti,Gina,gina.linetti@rose-hulman.edu
Lorthner,Carl,carl.lorthner@rose-hulman.edu
Ludgate,April,april.ludgate@@rose-hulman.edu
Malone,Kevin,kevin.malone@rose-hulman.edu
Martin,Angela,angela.martin@rose-hulman.edu
Martinez,Oscar,oscar.martinez@rose-hulman.edu
Meagle,Donna,donna.meagle@rose-hulman.edu
Middlebrooks,Craig,craig.middlebrooks@rose-hulman.edu
Miller,Pete,pete.miller@rose-hulman.edu
Miner,Charles,charles.miner@rose-hulman.edu
Newport,Bobby,bobby.newport@rose-hulman.edu
Palmer,Jake,jake.palmer@rose-hulman.edu
Palmer,Meredith,meredith.palmer@rose-hulman.edu
Pembroke,Kieth,kieth.pembroke@rose-hulman.edu
Peralta,Jake,jake.peralta@rose-hulman.edu
Peralta,Karen,karen.peralta@rose-hulman.edu
Perez,Sophia,sophia.perez@rose-hulman.edu
Perkins,Ann,ann.perkins@rose-hulman.edu
Philbin,Darryl,darryl.philbin@rose-hulman.edu
Pimento,Adrian,adrian.pimento@rose-hulman.edu
Porter,Josh,josh.porter@rose-hulman.edu
Santiago,Amy,amy.santiago@rose-hulman.edu
Saperstein,Jean-Ralphio,jean-ralphio.superstein@rose-hulman.edu
Saperstein,Mona-Lisa,mona-lisa.saperstein@rose-hulman.edu
Schrute,Dwight,dwight.schrute@rose-hulman.edu
Scott,Michael,michael.scott@rose-hulman.edu
Stills,Carol,carol.stills@rose-hulman.edu
Swanson,Ron,ron.swanson@rose-hulman.edu
Swanson,Tammy,tammy.swanson@rose-hulman.edu
Traeger,Chris,chris.traeger@rose-hulman.edu
Vance,Phyllis,phyllis.vance@rose-hulman.edu
Vickers,Deangelo,deangelo.vickers@rose-hulman.edu
Wallace,David,david.wallace@rose-hulman.edu
White,Devon,devon.white@rose-hulman.edu
Wyatt,Ben,ben.wyatt@rose-hulman.edu
Zippy,Johnny,johnny.zippy
