last,first,email,average,letterGrade
Adams,John,john.adamsrose-hulman.edu,94.0,A
Anderson,Justin,justin.anderson@rose-hulman.edu,73.23,C
Anderson,Roy,roy.anderson@rose-hulman.edu,58.0,F
Barkley,Jennifer,jennifer.barkley@rose-hulman.edu,0.0,F
Beesly,Pam,pam.beesly@rose-hulman.edu,58.13,F
Bennett,Jo,jo.bennett@rose-hulman.edu,96.0,A
Bernard,Andy,andy.bernard@rose-hulman.edu,54.33,F
Bertram,Nellie,nellie.bertram@rose-hulman.edu,91.5,A
Boyle,Charles,charles.boyle@rose-hulman.edu,78.95,C
Bratton,Creed,creed.bratton@rose-hulman.edu,76.83,C
Brendanawicz,Mark,mark.brendanawicz@rose-hulman.edu,94.31,A
California,Robert,robert.california@rose-hulman.edu,0.0,F
Costa,Marissa,marissa.costa@rose-hulman.edu,97.0,A
Diaz,Rosa,rosa.diaz@rose-hulman.edu,77.6,C
Dunn,Ron,ron.dunn@rose-hulman.edu,94.0,A
Dwyer,Andy,andy.dwyer@rose-hulman.edu,40.35,F
Filippelli,Karen,karen.filippelli@rose-hulman.edu,88.67,B
Flax,Holly,holly.flax@rose-hulman.edu,95.3,A
Flenderson,Toby,toby.flenderson@rose-hulman.edu,95.22,A
Gergich,Jerry,jerry.gergich@rose-hulman.edu,94.8,A
Gilmore,Happy,happy.gilmore@gmail.com,94.6,A
Gore,Dan,dan.gore@rose-hulman.edu,94.0,A
Green,Clark,clark.green@rose-hulman.edu,88.5,B
Halpert,Jim,jim.halpert@rose-hulman.edu,59.75,F
Hannon,Erin,erin.hannon@rose-hulman.edu,71.91,C
Haverford,Tom,tom.haverford@rose-hulman.edu,83.85,B
Hawkins,Melanie,melanie.hawkins@rose-hulman.edu,70.0,C
Holt,Ray,ray.holt@rose-hulman.edu,77.33,C
Howard,Ryan,ryan.howard@rose-hulman.edu,75.24,C
Hudson,Stanley,stanley.hudson@rose-hulman.edu,93.8,A
Jamm,Jeremy,jeremy.jamm@rose-hulman.edu,95.26,A
Jeffords,Sharon,sharon.jeffords@rose-hulman.edu,75.0,C
Jeffords,Terry,terry.jeffords@rose-hulman.edu,81.2,B
Judy,Doug,doug.judy@rose-hulman.edu,80.73,B
Kapoor,Kelly,kelly.kapoor@rose-hulman.edu,71.57,C
Knope,Leslie,leslie.knope@rose-hulman.edu,80.67,B
Levinson,Jan,jan.levinson@rose-hulman.edu,76.0,C
Lewis,Diane,diane.lewis@rose-hulman.edu,93.0,A
Lewis,Gabe,gabe.lewis@rose-hulman.edu,95.28,A
Linetti,Gina,gina.linetti@rose-hulman.edu,0.0,F
Lorthner,Carl,carl.lorthner@rose-hulman.edu,79.86,C
Ludgate,April,april.ludgate@@rose-hulman.edu,93.4,A
Malone,Kevin,kevin.malone@rose-hulman.edu,75.62,C
Martin,Angela,angela.martin@rose-hulman.edu,46.33,F
Martinez,Oscar,oscar.martinez@rose-hulman.edu,79.2,C
Meagle,Donna,donna.meagle@rose-hulman.edu,81.05,B
Middlebrooks,Craig,craig.middlebrooks@rose-hulman.edu,94.0,A
Miller,Pete,pete.miller@rose-hulman.edu,74.0,C
Miner,Charles,charles.miner@rose-hulman.edu,78.0,C
Newport,Bobby,bobby.newport@rose-hulman.edu,46.25,F
Palmer,Jake,jake.palmer@rose-hulman.edu,75.91,C
Palmer,Meredith,meredith.palmer@rose-hulman.edu,42.92,F
Pembroke,Kieth,kieth.pembroke@rose-hulman.edu,49.57,F
Peralta,Jake,jake.peralta@rose-hulman.edu,77.44,C
Peralta,Karen,karen.peralta@rose-hulman.edu,69.8,D
Perez,Sophia,sophia.perez@rose-hulman.edu,95.0,A
Perkins,Ann,ann.perkins@rose-hulman.edu,74.32,C
Philbin,Darryl,darryl.philbin@rose-hulman.edu,80.58,B
Pimento,Adrian,adrian.pimento@rose-hulman.edu,81.0,B
Porter,Josh,josh.porter@rose-hulman.edu,51.2,F
Santiago,Amy,amy.santiago@rose-hulman.edu,93.74,A
Saperstein,Jean-Ralphio,jean-ralphio.superstein@rose-hulman.edu,94.09,A
Saperstein,Mona-Lisa,mona-lisa.saperstein@rose-hulman.edu,72.75,C
Schrute,Dwight,dwight.schrute@rose-hulman.edu,94.5,A
Scott,Michael,michael.scott@rose-hulman.edu,57.78,F
Stills,Carol,carol.stills@rose-hulman.edu,80.5,B
Swanson,Ron,ron.swanson@rose-hulman.edu,79.7,C
Swanson,Tammy,tammy.swanson@rose-hulman.edu,93.95,A
Traeger,Chris,chris.traeger@rose-hulman.edu,79.44,C
Vance,Phyllis,phyllis.vance@rose-hulman.edu,94.0,A
Vickers,Deangelo,deangelo.vickers@rose-hulman.edu,72.43,C
Wallace,David,david.wallace@rose-hulman.edu,58.8,F
White,Devon,devon.white@rose-hulman.edu,78.33,C
Wyatt,Ben,ben.wyatt@rose-hulman.edu,78.11,C
Zippy,Johnny,johnny.zippy,78.0,C
